8	12	11	19
1	12	9	7
3	21	56	30
4	17	17	29
7	18	7	25
8	20	20	30
2	16	2	7
6	11	39	22
7	13	35	20
4	20	42	18
5	12	50	14
2	16	17	21
8	16	5	5
6	12	55	7
7	22	59	18
8	12	59	24
5	22	34	23
7	18	2	22
1	23	39	19
3	21	26	8
1	14	58	13
3	23	56	14
2	18	20	17
3	22	23	28
3	14	10	8
6	19	29	5
6	20	33	10
7	22	38	25
8	13	53	15
4	0	53	22
2	20	14	26
1	16	19	22
8	23	1	9
6	12	24	16
5	23	37	27
4	13	36	22
5	14	58	28
3	23	35	10
1	20	38	26
7	13	5	9
6	0	27	7
7	13	39	11
6	20	26	7
5	23	8	16
6	23	31	22
7	11	55	20
5	19	33	27
5	22	44	17
2	17	54	14
3	0	21	10
1	14	50	24
4	11	19	18
3	22	3	29
3	12	53	5
3	11	20	10
5	14	21	7
6	11	25	17
2	19	11	16
7	0	15	8
4	23	21	24
7	14	9	21
8	15	28	20
5	15	25	19
5	14	5	26
3	12	18	9
6	13	30	26
7	20	42	30
2	12	20	12
1	20	14	11
5	12	36	15
6	20	1	19
5	18	1	15
8	21	25	26
6	20	51	15
4	16	8	6
6	0	47	9
2	0	28	29
2	0	13	13
8	15	44	11
7	18	41	13
7	19	45	19
2	17	3	12
5	17	33	6
1	22	23	12
2	11	8	17
7	14	33	12
3	15	6	13
3	23	41	25
2	11	46	28
1	0	53	5
3	11	18	11
8	11	30	5
8	21	52	27
3	23	59	30
7	13	51	11
1	18	14	13
7	20	44	11
5	18	53	21
6	18	50	29
6	23	18	19
6	17	51	27
8	12	55	12
3	20	52	12
1	0	39	22
7	13	0	24
4	15	19	28
2	15	55	23
2	15	10	5
4	18	46	24
8	13	20	24
2	22	45	20
1	0	25	23
7	22	20	18
3	14	8	14
3	16	11	17
5	20	35	23
8	13	23	28
6	21	59	11
5	23	19	17
7	22	40	28
6	18	47	17
4	0	30	8
2	15	36	13
7	13	13	25
4	22	38	10
5	23	38	15
2	20	53	23
7	19	35	12
1	22	41	15
2	20	8	19
8	11	52	27
7	16	24	18
5	13	36	6
1	20	51	28
2	16	29	25
7	17	29	12
5	17	52	11
2	19	51	5
7	17	41	16
3	18	52	26
5	20	17	6
2	21	22	14
8	15	39	30
2	17	31	22
5	20	24	18
2	12	13	26
6	13	3	22
6	15	38	30
6	22	38	19
4	18	33	6
1	19	59	18
8	17	7	26
2	18	19	19
1	17	31	17
3	18	26	5
1	12	39	29
1	11	30	24
8	14	1	18
4	15	24	9
2	13	6	26
3	14	54	17
5	23	26	28
7	22	7	29
4	0	49	15
3	22	49	29
6	14	36	11
3	17	38	27
8	20	31	19
2	16	12	20
7	22	45	20
2	19	17	16
7	16	51	12
7	12	56	29
6	19	32	26
4	14	57	21
1	0	46	18
5	15	13	11
6	19	36	23
3	22	40	12
1	21	22	20
4	13	21	6
8	18	17	13
8	0	58	12
7	20	32	5
5	18	30	20
4	22	16	23
3	17	48	9
1	11	3	5
4	22	45	28
8	21	4	28
2	18	53	29
8	23	35	22
3	17	59	12
5	23	16	29
7	17	59	14
1	17	46	11
8	20	44	10
5	19	14	15
3	12	33	16
1	11	35	30
1	11	46	21
7	16	39	6
6	13	59	25
8	22	16	16
5	11	9	26
6	17	11	12
2	19	47	13
8	11	28	6
6	21	23	18
1	13	47	22
6	12	46	9
1	23	29	26
4	22	19	26
2	23	22	26
5	18	29	5
5	15	57	26
1	12	48	23
3	23	26	20
7	22	28	22
4	0	51	15
6	0	43	14
3	12	31	29
5	12	34	30
7	15	14	29
4	20	0	26
4	15	48	26
8	13	34	25
8	0	37	15
3	20	28	8
7	22	50	27
2	20	30	27
8	16	15	6
5	22	24	11
5	18	19	17
2	0	55	25
7	20	24	16
3	23	30	28
7	18	32	16
3	12	50	19
6	16	49	21
